,word,word_root,polarity
0,(-;,(,0
1,(;_;),(;_;),1
2,(^^),(^^),0
3,(^-^),(^-^),0
4,(^^*,(,0
5,(^_^),(^_^),0
6,(^_^;,(,1
7,(^o^),(^o^),0
8,(-_-),(-_-),1
9,(T_T),(T_T),1
10,(ㅡㅡ),(,1
11,)-:,),1
12,*^^*,*,0
13,/^o^\,/,0
14,:(,:,0
15,:'-(,:,0
16,:-(,:,0
17,:),:,1
18,:-),:,0
19,:/,:,1
20,:|,:,0
21,:D,:,1
22,:-D,:,1
23,:p,:,-1
24,:-P,:,1
25,;,;,0
26,;),;,0
27,;-),;,0
28,;ㅅ;,;,1
29,^///^,^,0
30,^^,^^,0
31,^^//,^^,0
32,^-^;,^-^;,1
33,^-^;;,^-^;;,1
34,^-^;;;;;,^-^;;;;;,1
35,-_-^,-_-,1
36,<3,<,0
37,=),=,0
38,8-),8,-1
39,B-),B,-1
40,XD,XD,0
41,ㄱㅅ,ㄱ,0
42,ㄱㅇㄷ,ㄱ,0
43,가격이 싸다,가격 싸,0
44,가까스로,가까스로,-1
45,가까이 사귀어,가까이 사귀,0
46,가까이하다,가까이,0
47,가꾸러뜨리다,가꾸러뜨리,1
48,가꾸러트리다,가꾸러트리,1
49,가난,가난,1
50,가난뱅이,가난뱅이,1
51,가난살이,가난,1
52,가난살이하다,가난,1
53,가난설음,가난,1
54,가난에,가난,1
55,가난에 쪼들려서,가난 쪼들리,1
56,가난하게,가난,1
57,가난하고,가난,1
58,가난하고 어렵다,가난 어렵,1
59,가난하고 천한,가난 천한,1
60,가난하다,가난,1
61,가난하여,가난,1
62,가난한,가난,1
63,가난한 데다가,가난 데,1
64,가난한 사람을,가난 사람,1
65,가난히,가난,1
66,가년스럽다,가년,1
67,가념하다,가념하,1
68,가녕스럽다,가,1
69,가누기 어려워하다,가누 어려워하,1
70,가누지 못하고,가누 못하,1
71,가누지 못하다,가누 못하,1
72,가누지 못할,가누 못하,1
73,가누지 못할 정도로,가누 못하 정도,1
74,가누지 못함,가누 못하,1
75,가눌 수 없게,가누 수 없,1
76,가눌 수 없을,가누 수 없,1
77,가눌 수 없이,가누 수 없이,1
78,가능성이 늘어나다,가능성 늘어나,0
79,가능성이 있다고,가능성 있,0
80,가능하다,가능,0
81,가닐가닐하다,가닐가닐,1
82,가다듬어,가다듬,0
83,가다듬어 수습하는,가다듬 수습,0
84,가다듬어 수습하다,가다듬 수습,0
85,가다듬어 정하다,가다듬 정하,0
86,가당찮다,가당찮,1
87,가당찮이,가,1
88,가당히,가,0
89,가두거나,가두,1
90,가두거나 해치거나,가두 해치,1
91,가드올려,가드,1
92,가뜬하게,가뜬,0
93,가라앉다,가라앉,-1
94,가라앉지 않은,가라앉 않,-1
95,가라앉혀 바로잡다,가라앉히 바로잡,0
96,가래,가래,1
97,가래 따위가,가래 따위,1
98,가래가,가래,1
99,가래가 섞인,가래 섞이,1
100,가량맞고,가량,1
101,가량맞고 야살스러운,가량 야살,1
102,가량맞고 야살스러움,가량 야살,1
103,가려서 좋아하다,가리 좋아하,1
104,가려운,가렵,1
105,가려운 느낌이,가렵 느낌,1
106,가려운 증상을,가렵 증상,1
107,가련하게,가련,1
108,가련하게 여기다,가련 여기,1
109,가련하게 여김,가련 여기,1
110,가련한,가련,1
111,가련한 듯하다,가련 듯하,1
112,가렵고,가렵,1
113,가로막아서,가로막,1
114,가로채서,가로,1
115,가로채어,가로,1
116,가르치며,가르치,0
117,가르침,가르침,0
118,가르침을 받아,가르침 받,-1
119,가리지 못하다,가리 못하,1
120,가리지 않고,가리 않,-1
121,가마득하다,가마득,1
122,가만있지 못하고,가만있 못하,1
123,가망 없는,가망 없,1
124,가망이 없게,가망 없,1
125,가벼운 마음으로,가벼운 마음,0
126,가벼운 말이나,가벼운 말,1
127,가벼운 상처,가벼운 상처,1
128,가벼운 슬픔,가벼운 슬픔,1
129,가벼운 행동으로,가벼운 행동,1
130,가볍게,가볍,1
131,가볍게 까부는,가볍 까불,1
132,가볍게 까불다,가볍 까불,1
133,가볍게 쑤시듯,가볍 쑤시,1
134,가볍게 웃다,가볍 웃,0
135,가볍게 채신없이,가볍 채신,1
136,가볍게 행동하거나,가볍 행동,1
137,가볍게 행동하는,가볍 행동,1
138,가볍게 행동하다,가볍 행동,1
139,가볍고,가볍,0
140,가볍고 보드랍게,가볍 보드랍,0
141,가볍고 상쾌하다,가볍 상쾌,0
142,가볍고 상쾌한,가볍 상쾌,0
143,가볍고 시원하게,가볍 시원,0
144,가볍고 편안하게,가볍 편안,0
145,가볍고 환하게,가볍 환하,0
146,가분가분,가분가분,0
147,가분히,가분,0
148,가뿐가뿐,가뿐가뿐,0
149,가뿐가뿐하다,가뿐가뿐,0
150,가뿐가뿐히,가뿐가뿐,0
151,가뿐하게,가뿐,0
152,가뿐하다,가뿐,0
153,가뿐한,가뿐,0
154,가뿐한 느낌,가뿐 느낌,0
155,가뿐한 느낌이,가뿐 느낌,0
156,가뿐히,가,0
157,가쁘게,가쁘,1
158,가쁘게 쉬다,가쁘 쉬,1
159,가쁘고,가쁘,1
160,가쁘고 거칠게,가쁘 거치,1
161,가쁘고 급하게,가쁘 급하,1
162,가쁜,가쁘,1
163,가쁜 증상,가쁘 증상,1
164,가살스럽다,가살,1
165,가소롭게,가소롭,1
166,가소롭다,가소롭,1
167,가스 중독이나,가스 중독,1
168,가슴 아파하다,가슴 아파하,1
169,가슴 아파함,가슴 아파하,1
170,가슴 아프게,가슴 아프,1
171,가슴 아프고,가슴 아프,1
172,가슴 아프다,가슴 아프,1
173,가슴속에 근심이나,가슴속 근심,1
174,가슴앓이,가슴앓이,1
175,가슴앓이하다,가슴앓이,1
176,가슴이 갑갑할,가슴 갑갑,1
177,가슴이 괴롭거나,가슴 괴롭,1
178,가슴이 그득한,가슴 그,1
179,가슴이 답답하고,가슴 답답,1
180,가슴이 답답하다,가슴 답답,1
181,가슴이 답답하며,가슴 답답,1
182,가슴이 답답하여,가슴 답답,1
183,가슴이 답답한,가슴 답답,1
184,가슴이 답답해진다,가슴 답답,1
185,가슴이 아프다,가슴 아프,1
186,가슴이 아픈,가슴 아프,1
187,가슴이 울렁거리는,가슴 울렁거리,1
188,가슴이 울렁거리다,가슴 울렁거리,1
189,가슴이 찢어질,가슴 찢어지,1
190,가습이 답답하고,가습 답답,1
191,가엽다,가엽,1
192,가엾게,가엾,1
193,가엾게 여겨,가엾 여기,1
194,가엾게 여기다,가엾 여기,1
195,가엾고,가엾,1
196,가엾고 불쌍하다,가엾 불쌍,1
197,가엾고 불쌍하여,가엾 불쌍,1
198,가엾고 불쌍한,가엾 불쌍,1
199,가엾고 불쌍함,가엾 불쌍,1
200,가엾고 애처롭다,가엾 애처롭,1
201,가엾다,가엾,1
202,가운데에서 뛰어남,가운데 뛰,0
203,가위눌리다,가위눌리,1
204,가음 아프고,가 아프,1
205,가장 거룩한,가장 거룩,0
206,가장 뛰어나,가장 뛰어나,0
207,가장 뛰어난,가장 뛰어나,0
208,가장 올바르게,가장 올바르,0
209,가장 좋은,가장 좋,0
210,가장 중요한,가장 중요,0
211,가증맞다,가증,1
212,가증스럽다,가증,1
213,가지런하게 하는,가지런 하,0
214,가지런하게 하다,가지런 하다,0
215,가지런하다,가지런,0
216,가지런하지 아니하다,가지런 아니하,1
217,가지런하지 아니한,가지런 아니하,1
218,가짜,가짜,1
219,가책이 되어,가책 되,1
220,가치,가치,0
221,가치 없는,가치 없,1
222,가치 있는,가치 있,0
223,가치 있다,가치 있,0
224,가치가,가치,0
225,가치가 없다,가치 없,1
226,가치가 없을,가치 없,1
227,가치가 없이,가치 없이,1
228,가치가 있다,가치 있,0
229,가치를 믿다,가치 믿,0
230,가치를 인정하다,가치 인정,0
231,가치보다 비싼,가치 비싸,1
232,가치없는,가치,1
233,가치있는,가치,0
234,가치작거리는,가치,1
235,가치작거리는 모양,가치 모양,1
236,가치작거리는 소리,가치 소리,1
237,가탈스럽다,가탈,1
238,가혹하게,가혹,1
239,가혹하게 착취하여,가혹 착취,1
240,각근하지 못하여,각근하 못하,1
241,각별나다,각별나,0
242,각별하다,각별,0
243,간 장애,간 장애,1
244,간 질환의,간 질환,1
245,간드러진,간드러지,0
246,간드러진 느낌이,간드러지 느낌,0
247,간사스럽게,간사,1
248,간사스럽게 행동하는,간사 행동,1
249,간사스럽게 행동하다,간사 행동,1
250,간사하고,간사,1
251,간사하다,간사,1
252,간사한,간사,1
253,간사한 사람이나,간사 사람,1
254,간사한 짓을,간사 짓,1
255,간섭받고,간섭,1
